serial_no,title,authors,journal,abstract,publish_date,doi,url,source
11,Narrowband IoT for Healthcare,Sudhir K. Routray; Sharath Anand,,"The Internet of Things (IoT) is going to have its presence in all the essential sectors of human lives. It has the ability to provide both mainstream as well as the value added services in almost all the sectors. Healthcare is an important service sector for overall development. It has far reaching implications in the quality of living. In the modern world where the quality of living has been degraded significantly IoT can certainly play a constructive role in providing better services. In healthcare, there are several occasions such as patient health monitoring, remote observation and emergency proceedings outside the hospital where sensors can play essential roles. The coordinated sensor networks can provide even better services. IoT has the ability to provide all these coordinated services. Narrowband IoT (NBIoT) is an economical and simpler version of IoT which can handle these tasks effectively. Due to the widespread requirement of healthcare, NBIoT is a preferred solution as it needs fewer amounts of resources. In this article, we provide the main issues and difficulties of NBIoT in healthcare.",2019-04-01,,http://arxiv.org/abs/1904.07116v1,arxiv
12,Fostering new Vertical and Horizontal IoT Applications with Intelligence Everywhere,Hung Cao; Monica Wachowicz; Rene Richard; Ching-Hsien Hsu,,"Intelligence Everywhere is predicated on the seamless integration of IoT networks transporting a vast amount of data streams through many computing resources across an edge-to-cloud continuum, relying on the orchestration of distributed machine learning models. The result is an interconnected and collective intelligent ecosystem where devices, systems, services, and users work together to support IoT applications. This paper discusses the state-of-the-art research and the principles of the Intelligence Everywhere framework for enhancing IoT applications in vertical sectors such as Digital Health, Infrastructure, and Transportation/Mobility in the context of intelligent society (Society 5.0). It also introduces a novel perspective for the development of horizontal IoT applications, capable of running across various IoT networks while fostering collective intelligence across diverse sectors. Finally, this paper provides comprehensive insights into the challenges and opportunities for harnessing collective knowledge from real-time insights, leading to optimised processes and better overall collaboration across different IoT sectors.",2023-09-30,,http://arxiv.org/abs/2310.00346v1,arxiv
13,Standards-Based Worldwide Semantic Interoperability for IoT,Erno Kovacs; Martin Bauer; Jaeho Kim; Jaeseok Yun; Franck Le Gall; Mengxuan Zhao,"E. Kovacs, M. Bauer, J. Kim, J. Yun, F. Le Gall and M. Zhao, ""Standards-Based Worldwide Semantic Interoperability for IoT,"" in IEEE Communications Magazine, vol. 54, no. 12, pp. 40-46, December 2016","Global IoT services (GIoTS) are combining locally available IoT resources with Cloud-based services. They are targeting world-wide services. GIoTS require interoperability between the locally installed heterogeneous IoT systems. Semantic processing is an important technology to enable data mediation as well as knowledge-based processing. This paper explains a system architecture for achieving world-wide semantic interoperability using international standards like oneM2M and the OMA NGSI-9/10 context interfaces (as used in the European Future Internet Platform FIWARE). Semantics also enables the use of Knowledge-based Semantic Processing Agents. Furthermore, we explain how semantic verification enables the testing of such complex systems.",2018-08-01,10.1109/MCOM.2016.1600460CM,http://arxiv.org/abs/1808.00386v1,arxiv
14,Night-sky brightness monitoring in Hong Kong - a city-wide light pollution assessment,Chun Shing Jason Pun; Chu Wing So,Environmental Monitoring and Assessment 184 (2012) 2537-2557,"Results of the first comprehensive light pollution survey in Hong Kong are presented. The night-sky brightness was measured and monitored around the city using a portable light sensing device called the Sky Quality Meter over a 15-month period beginning in March 2008. A total of 1,957 data sets were taken at 199 distinct locations, including urban and rural sites covering all 18 Administrative Districts of Hong Kong. The survey shows that the environmental light pollution problem in Hong Kong is severe - the urban night-skies (sky brightness at 15.0 mag per arcsec square) are on average ~100 times brighter than at the darkest rural sites (20.1 mag per arcsec square), indicating that the high lighting densities in the densely populated residential and commercial areas lead to light pollution. In the worst polluted urban location studied, the night-sky at 13.2 mag per arcsec square can be over 500 times brighter than the darkest sites in Hong Kong. The observed night-sky brightness is found to be affected by human factors such as land utilization and population density of the observation sites, together with meteorological and/or environmental factors. Moreover, earlier night-skies (at 9:30pm local time) are generally brighter than later time (at 11:30pm), which can be attributed to some public and commercial lightings being turned off later at night. On the other hand, no concrete relationship between the observed sky brightness and air pollutant concentrations could be established with the limited survey sampling. Results from this survey will serve as an important database for the public to assess whether new rules and regulations are necessary to control the use of outdoor lightings in Hong Kong.",2011-06-20,10.1007/s10661-011-2136-1,http://arxiv.org/abs/1106.3842v1,arxiv
15,SHIELD: Securing Healthcare IoT with Efficient Machine Learning Techniques for Anomaly Detection,Mahek Desai; Apoorva Rumale; Marjan Asadinia,"2025 IEEE World AI IoT Congress (AIIoT), Seattle, WA, USA, 2025, pp. 0521-0528","The integration of IoT devices in healthcare introduces significant security and reliability challenges, increasing susceptibility to cyber threats and operational anomalies. This study proposes a machine learning-driven framework for (1) detecting malicious cyberattacks and (2) identifying faulty device anomalies, leveraging a dataset of 200,000 records. Eight machine learning models are evaluated across three learning approaches: supervised learning (XGBoost, K-Nearest Neighbors (K- NN)), semi-supervised learning (Generative Adversarial Networks (GAN), Variational Autoencoders (VAE)), and unsupervised learning (One-Class Support Vector Machine (SVM), Isolation Forest, Graph Neural Networks (GNN), and Long Short-Term Memory (LSTM) Autoencoders). The comprehensive evaluation was conducted across multiple metrics like F1-score, precision, recall, accuracy, ROC-AUC, computational efficiency. XGBoost achieved 99\% accuracy with minimal computational overhead (0.04s) for anomaly detection, while Isolation Forest balanced precision and recall effectively. LSTM Autoencoders underperformed with lower accuracy and higher latency. For attack detection, KNN achieved near-perfect precision, recall, and F1-score with the lowest computational cost (0.05s), followed by VAE at 97% accuracy. GAN showed the highest computational cost with lowest accuracy and ROC-AUC. These findings enhance IoT-enabled healthcare security through effective anomaly detection strategies. By improving early detection of cyber threats and device failures, this framework has the potential to prevent data breaches, minimize system downtime, and ensure the continuous and safe operation of medical devices, ultimately safeguarding patient health and trust in IoT-driven healthcare solutions.",2025-11-05,10.1109/AIIoT65859.2025.11105287,http://arxiv.org/abs/2511.03661v1,arxiv
16,Attributes' Importance for Zero-Shot Pose-Classification Based on Wearable Sensors,Hiroki Ohashi; Mohammad Al-Naser; Sheraz Ahmed; Katsuyuki Nakamura; Takuto Sato; Andreas Dengel,"Sensors 2018, 18, 2485","This paper presents a simple yet effective method for improving the performance of zero-shot learning (ZSL). ZSL classifies instances of unseen classes, from which no training data is available, by utilizing the attributes of the classes. Conventional ZSL methods have equally dealt with all the available attributes, but this sometimes causes misclassification. This is because an attribute that is effective for classifying instances of one class is not always effective for another class. In this case, a metric of classifying the latter class can be undesirably influenced by the irrelevant attribute. This paper solves this problem by taking the importance of each attribute for each class into account when calculating the metric. In addition to the proposal of this new method, this paper also contributes by providing a dataset for pose classification based on wearable sensors, named HDPoseDS. It contains 22 classes of poses performed by 10 subjects with 31 IMU sensors across full body. To the best of our knowledge, it is the richest wearable-sensor dataset especially in terms of sensor density, and thus it is suitable for studying zero-shot pose/action recognition. The presented method was evaluated on HDPoseDS and outperformed relative improvement of 5.9% in comparison to the best baseline method.",2018-08-02,10.3390/s18082485,http://arxiv.org/abs/1808.01358v1,arxiv
17,Human Stress Assessment: A Comprehensive Review of Methods Using Wearable Sensors and Non-wearable Techniques,Aamir Arsalan; Muhammad Majid; Imran Fareed Nizami; Waleed Manzoor; Syed Muhammad Anwar; Jihyoung Ryu,,"This paper presents a comprehensive review of methods covering significant subjective and objective human stress detection techniques available in the literature. The methods for measuring human stress responses could include subjective questionnaires (developed by psychologists) and objective markers observed using data from wearable and non-wearable sensors. In particular, wearable sensor-based methods commonly use data from electroencephalography, electrocardiogram, galvanic skin response, electromyography, electrodermal activity, heart rate, heart rate variability, and photoplethysmography both individually and in multimodal fusion strategies. Whereas, methods based on non-wearable sensors include strategies such as analyzing pupil dilation and speech, smartphone data, eye movement, body posture, and thermal imaging. Whenever a stressful situation is encountered by an individual, physiological, physical, or behavioral change is induced which help in coping with the challenge at hand. A wide range of studies has attempted to establish a relationship between these stressful situations and the response of human beings by using different kinds of psychological, physiological, physical, and behavioral measures. Inspired by the lack of availability of a definitive verdict about the relationship of human stress with these different kinds of markers, a detailed survey about human stress detection methods is conducted in this paper. In particular, we explore how stress detection methods can benefit from artificial intelligence utilizing relevant data from various sources. This review will prove to be a reference document that would provide guidelines for future research enabling effective detection of human stress conditions.",2022-02-07,,http://arxiv.org/abs/2202.03033v2,arxiv
18,The Patchkeeper: An Integrated Wearable Electronic Stethoscope with Multiple Sensors,Hongwei Li; Zoran Radivojevic; Maja Hedlund; Anton Fahlgren; Michael S. Eggleston,,"Many parts of human body generate internal sound during biological processes, which are rich sources of information for understanding health and wellbeing. Despite a long history of development and usage of stethoscopes, there is still a lack of proper tools for recording internal body sound together with complementary sensors for long term monitoring. In this paper, we show our development of a wearable electronic stethoscope, coined Patchkeeper (PK), that can be used for internal body sound recording over long periods of time. Patchkeeper also integrates several state-of-the-art biological sensors, including electrocardiogram (ECG), photoplethysmography (PPG), and inertial measurement unit (IMU) sensors. As a wearable device, Patchkeeper can be placed on various parts of the body to collect sound from particular organs, including heart, lung, stomach, and joints etc. We show in this paper that several vital signals can be recorded simultaneously with high quality. As Patchkeeper can be operated directly by the user, e.g. without involving health care professionals, we believe it could be a useful tool for telemedicine and remote diagnostics.",2024-07-16,,http://arxiv.org/abs/2407.11837v3,arxiv
19,A Novel Multi-Stage Training Approach for Human Activity Recognition from Multimodal Wearable Sensor Data Using Deep Neural Network,Tanvir Mahmud; A. Q. M. Sazzad Sayyed; Shaikh Anowarul Fattah; Sun-Yuan Kung,"IEEE Sensors Journal, Volume: 21, Issue:2, Page(s): 1715 - 1726, January 2021","Deep neural network is an effective choice to automatically recognize human actions utilizing data from various wearable sensors. These networks automate the process of feature extraction relying completely on data. However, various noises in time series data with complex inter-modal relationships among sensors make this process more complicated. In this paper, we have proposed a novel multi-stage training approach that increases diversity in this feature extraction process to make accurate recognition of actions by combining varieties of features extracted from diverse perspectives. Initially, instead of using single type of transformation, numerous transformations are employed on time series data to obtain variegated representations of the features encoded in raw data. An efficient deep CNN architecture is proposed that can be individually trained to extract features from different transformed spaces. Later, these CNN feature extractors are merged into an optimal architecture finely tuned for optimizing diversified extracted features through a combined training stage or multiple sequential training stages. This approach offers the opportunity to explore the encoded features in raw sensor data utilizing multifarious observation windows with immense scope for efficient selection of features for final convergence. Extensive experimentations have been carried out in three publicly available datasets that provide outstanding performance consistently with average five-fold cross-validation accuracy of 99.29% on UCI HAR database, 99.02% on USC HAR database, and 97.21% on SKODA database outperforming other state-of-the-art approaches.",2021-01-03,10.1109/JSEN.2020.3015781,http://arxiv.org/abs/2101.00702v1,arxiv
20,Sensor Insoles: A Review,Bastian Latsch; Felix Herbst; Mark Suppelt; Julian Seiler; Stephan Schaumann; Sven Suppelt; Alexander A. Altmann; Martin Grimmer; and Mario Kupnik,"IEEE Sensors Journal, vol. 26, no. 3, pp. 3577-3596, Dec. 2025","Plantar pressure measurement, or pedobarography, is an essential tool for analyzing human motion in healthy individuals and patients. Across the reviewed literature, sensor insoles are motivated as wearable, mobile solutions for assessing pressure distribution in applications including diabetic foot monitoring, rehabilitation guidance, assistive device control, and sports performance analysis. This review evaluates the current state of the art with particular attention to sensor technologies, sensor quantity and placement, participant cohorts, and reference standards. The focus lies on original works with innovative designs, preferably supported by ambulation experiments. The modalities covered include resistive, capacitive, inductive, piezoelectric, triboelectric, and optical sensing approaches. We identify a lack of proper sensor calibration, gait-based verification, and human study validation, and propose a gold standard based on testing machines and instrumented treadmills to ensure comparability across studies. The bidirectional interaction between insole insertion and foot-sole mechanics is examined, with tissue stiffness identified as a key source of uncertainty in sensor signals. Guidelines are provided for sensor dimensions and unobtrusive insole designs to foster natural gait. Finally, future directions include the development of multimodal sensors to compensate for the limitations of individual modalities and the emerging trend of multiaxial sensing for capturing shear components in pressure distributions.",2025-08-29,10.1109/JSEN.2025.3638124,http://arxiv.org/abs/2509.00260v2,arxiv
21,Generating Synthetic Health Sensor Data for Privacy-Preserving Wearable Stress Detection,Lucas Lange; Nils Wenzlitschke; Erhard Rahm,"Sensors 2024, 24(10), 3052","Smartwatch health sensor data are increasingly utilized in smart health applications and patient monitoring, including stress detection. However, such medical data often comprise sensitive personal information and are resource-intensive to acquire for research purposes. In response to this challenge, we introduce the privacy-aware synthetization of multi-sensor smartwatch health readings related to moments of stress, employing Generative Adversarial Networks (GANs) and Differential Privacy (DP) safeguards. Our method not only protects patient information but also enhances data availability for research. To ensure its usefulness, we test synthetic data from multiple GANs and employ different data enhancement strategies on an actual stress detection task. Our GAN-based augmentation methods demonstrate significant improvements in model performance, with private DP training scenarios observing an 11.90-15.48% increase in F1-score, while non-private training scenarios still see a 0.45% boost. These results underline the potential of differentially private synthetic data in optimizing utility-privacy trade-offs, especially with the limited availability of real training samples. Through rigorous quality assessments, we confirm the integrity and plausibility of our synthetic data, which, however, are significantly impacted when increasing privacy requirements.",2024-01-24,10.3390/s24103052,http://arxiv.org/abs/2401.13327v2,arxiv
22,WEARDA: Recording Wearable Sensor Data for Human Activity Monitoring,Richard M. K. van Dijk; Daniela Gawehns; Matthijs van Leeuwen,"van Dijk RMK, Gawehns D, van Leeuwen M 2023 WEARDA: Recording Wearable Sensor Data for Human Activity Monitoring. Journal of Open Research Software, 11:13","We present WEARDA, the open source WEARable sensor Data Acquisition software package. WEARDA facilitates the acquisition of human activity data with smartwatches and is primarily aimed at researchers who require transparency, full control, and access to raw sensor data. It provides functionality to simultaneously record raw data from four sensors -- tri-axis accelerometer, tri-axis gyroscope, barometer, and GPS -- which should enable researchers to, for example, estimate energy expenditure and mine movement trajectories. A Samsung smartwatch running the Tizen OS was chosen because of 1) the required functionalities of the smartwatch software API, 2) the availability of software development tools and accessible documentation, 3) having the required sensors, and 4) the requirements on case design for acceptance by the target user group. WEARDA addresses five practical challenges concerning preparation, measurement, logistics, privacy preservation, and reproducibility to ensure efficient and errorless data collection. The software package was initially created for the project ""Dementia back at the heart of the community"", and has been successfully used in that context.",2023-02-28,10.5334/jors.454,http://arxiv.org/abs/2303.00064v2,arxiv
23,Sampling Trade-Offs in Duty-Cycled Systems for Air Quality Low-Cost Sensors,Pau Ferrer-Cid; Julio Garcia-Calvete; Aina Main-Nadal; Zhe Ye; Jose M. Barcelo-Ordinas; Jorge Garcia-Vidal,"Sensors 2022, 22, 3964","The use of low-cost sensors in conjunction with high-precision instrumentation for air pollution monitoring has shown promising results in recent years. One of the main challenges for these sensors has been the quality of their data, which is why the main efforts have focused on calibrating the sensors using machine learning techniques to improve the data quality. However, there is one aspect that has been overlooked, that is, these sensors are mounted on nodes that may have energy consumption restrictions if they are battery-powered. In this paper, we show the usual sensor data gathering process and we study the existing trade-offs between the sampling of such sensors, the quality of the sensor calibration, and the power consumption involved. To this end, we conduct experiments on prototype nodes measuring tropospheric ozone, nitrogen dioxide, and nitrogen monoxide at high frequency. The results show that the sensor sampling strategy directly affects the quality of the air pollution estimation and that each type of sensor may require different sampling strategies. In addition, duty cycles of 0.1 can be achieved when the sensors have response times in the order of two minutes, and duty cycles between 0.01 and 0.02 can be achieved when the sensor response times are negligible, calibrating with hourly reference values and maintaining a quality of calibrated data similar to when the node is connected to an uninterruptible power supply.",2021-12-14,10.3390/s22103964,http://arxiv.org/abs/2112.09072v2,arxiv
24,Environmental Variation or Instrumental Drift? A Probabilistic Approach to Gas Sensor Drift Modeling and Evaluation,Cheng Yang; Gustav Bohlin; Tobias Oechtering,"2024 IEEE SENSORS, Kobe, Japan, 2024, pp. 1-4,","Drift is a significant issue that undermines the reliability of gas sensors. This paper introduces a probabilistic model to distinguish between environmental variation and instrumental drift, using low-cost non-dispersive infrared (NDIR) CO2 sensors as a case study. Data from a long-term field experiment is analyzed to evaluate both sensor performance and environmental changes over time. Our approach employs importance sampling to isolate instrumental drift from environmental variation, providing a more accurate assessment of sensor performance. The results show that failing to account for environmental variation can significantly affect the evaluation of sensor drift, leading to improper calibration processes.",2024-06-25,10.1109/SENSORS60989.2024.10784897,http://arxiv.org/abs/2406.17488v2,arxiv
25,An 860 MHz Wireless Surface Acoustic Wave Sensor with a Metal-Organic Framework Sensing Layer for CO2 and CH4,Jagannath Devkota; David W. Greve; Tao Hong; Ki-Joong Kim; Paul R. Ohodnicki,"IEEE Sensors Journal, 2020","Wireless and passive surface acoustic wave (SAW) devices with nanoporous metal-organic framework (MOF) sensing layers are attractive gas sensors for applications in many fields such as energy industries and air pollution control. Here, we report on enhancing the sensitivity and detection limit of zeolitic imidazolate framework-8 (ZIF-8) MOF-coated SAW reflective delay line mass sensors by increasing the operating frequency for sensitive detection of carbon dioxide (CO2) and methane (CH4) at ambient conditions. In particular, we show at least four times higher sensitivity of an 860 MHz (4-μm periodicity) SAW reflective delay line coated with a 240 nm thick ZIF-8 compared to the sensitivity of a 430 MHz (8-μm periodicity) otherwise identical sensor device to the targeted gases. The detection limits of the higher frequency wireless devices for CO2 and CH4 were estimated to be 0.91 vol-% and 7.01 vol-%, respectively. The enhanced sensitivity for higher frequency devices is explained in terms of the frequency dependent acoustic wave energy confinement.",2019-12-09,10.1109/JSEN.2020.2990997,http://arxiv.org/abs/2002.00705v2,arxiv
26,Digital Twin sensors in cultural heritage applications,Franco Niccolucci; Achille Felicetti,"Sensors 2024, 24, 3978","The paper concerns the extension of the Heritage Digital Twin Ontology introduced in previous work to describe the reactivity of digital twins used for cultural heritage documentation by including the semantic description of sensors and activators and all the process of interacting with the real world. After analysing previous work on the use of digital twins in cultural heritage, a summary description of the Heritage Digital Twin Ontology is provided, and the existing applications of digital twins to cultural heritage are overviewed, with references to reviews summarizing the large production of scientific contributions on the topic. Then a novel ontology, named Reactive Digital Twin Ontology is described, in which sensors, activators and the decision processes are also semantically described, turning the previous synchronic approach to cultural heritage documentation into a diachronic one. Some case studies exemplify this theory.",2024-07-08,10.3390/s24123978,http://arxiv.org/abs/2407.07750v1,arxiv
